error1,error2,error3,error4
0.007714961,0.003980196,0.014369594,0.014369594
0.007479235,0.015307815,0.015339395,0.015339395
0.008656325,0.012473865,0.014355085,0.014355085
0.002081806,0.016307236,0.010398124,0.010398124
0.012771889,0.007762984,0.011566901,0.011566901
0.012392009,0.014878341,0.017546941,0.017546941
0.015673517,0.013704213,0.021321273,0.021321273
0.008427314,0.00637517,0.018784686,0.018784686
0.006536975,0.000396899,0.009543465,0.009543465
0.030858073,0.003063389,0.000397157,0.000397157
0.033650856,0.005831198,0.002758049,0.002758049
0.022492719,0.007884461,0.004392351,0.004392351
0.025265046,0.009077649,0.003372399,0.003372399
0.01774636,0.008672035,0.0045846,0.0045846
0.025757698,0.001888062,0.007387362,0.007387362
0.016410157,0.002008827,0.000276967,0.000276967
0.025591106,0.00956442,0.01271889,0.01271889
0.040805902,0.009853882,0.023316452,0.023316452
0.031894454,0.016985129,0.024712118,0.024712118
0.027828861,0.024183831,0.030235781,0.030235781
0.0318344,0.02068152,0.03506656,0.03506656
0.031943709,0.015061589,0.032430953,0.032430953
0.027386545,0.0200988,0.026656405,0.026656405
0.013060488,0.010068938,0.007800218,0.007800218
0.000384885,0.006002045,6.26538E-06,6.26538E-06
0.021326625,0.001649321,0.013492509,0.013492509
0.026221935,0.029052915,0.022152225,0.022152225
0.028167164,0.016798434,0.020990504,0.020990504
0.044344104,0.046209434,0.020593094,0.020593094
0.038188949,0.037198409,0.025742669,0.025742669
0.038345236,0.024636082,0.019941586,0.019941586
0.010892609,0.004782215,0.012719659,0.012719659
0.009350776,0.007600044,0.006594106,0.006594106
0.012333446,0.004541464,0.006755306,0.006755306
0.014226776,0.004919426,0.005288806,0.005288806
0.012057827,0.008997132,0.004275602,0.004275602
0.032918765,0.054897725,0.006724315,0.006724315
0.019785457,0.036793963,0.003103023,0.003103023
0.011495254,0.029851898,0.004991926,0.004991926
0.000555522,0.037941532,0.013207178,0.013207178
0.001554414,0.061415772,0.010747343,0.010747343
0.003319079,0.081062739,0.006487961,0.006487961
0.000599846,0.026820888,0.014536652,0.014536652
0.000423434,0.019040319,0.005504134,0.005504134
0.043709469,0.003600669,0.013929705,0.013929705
0.035899919,0.039484319,0.055777467,0.055777467
0.014366044,0.029499634,0.034389966,0.034389966
0.015336952,0.033230622,0.024562464,0.024562464
0.003696166,0.051504842,0.043520231,0.043520231
0.000523765,0.019417079,0.053306135,0.053306135
0.001756448,0.011506172,0.039617728,0.039617728
0.001442478,0.003383547,0.027260892,0.027260892
0.014849737,0.006362068,0.021194823,0.021194823
0.011681966,0.006137454,0.02217603,0.02217603
0.006657809,0.014349744,0.022934861,0.022934861
0.034755304,0.022699594,0.032823856,0.032823856
0.026359994,0.039800124,0.014930176,0.014930176
0.02454064,0.03235989,0.00987531,0.00987531
0.001261739,0.020554329,0.029120021,0.029120021
0.00247916,0.02099914,0.021279,0.021279
0.0117717,0.00305552,0.011185415,0.011185415
0.000626302,0.006745108,0.020805687,0.020805687
0.00203082,0.004215314,0.024843056,0.024843056
0.005327806,0.014497544,0.037465326,0.037465326
0.019146252,0.007103667,0.028493188,0.028493188
0.016182889,0.015833999,0.012556605,0.012556605
0.006159469,0.010798693,0.024691071,0.024691071
0.009459899,0.021383409,0.017849795,0.017849795
0.013855399,0.036757619,0.011847711,0.011847711
0.008261739,0.028747659,0.014370101,0.014370101
0.010861743,0.016079423,0.003707827,0.003707827
0.022216285,0.0095959,0.002137835,0.002137835
0.026831805,0.02806329,3.42954E-05,3.42954E-05
0.036068514,0.02010405,0.005631708,0.005631708
0.026962984,0.001862976,0.002514034,0.002514034
0.010707454,0.012197941,0.003092926,0.003092926
0.019466937,0.003748832,0.003703472,0.003703472
0.018824293,0.004059893,0.002494651,0.002494651
0.007279992,0.012477936,0.001806156,0.001806156
0.011405976,0.001991106,0.003541584,0.003541584
0.013642946,0.012536524,0.016374326,0.016374326
0.01864609,0.01524911,0.02311737,0.02311737
0.002134084,0.021403664,0.013143394,0.013143394
0.020061598,0.026647448,0.017540368,0.017540368
0.033335361,0.021766831,0.016348175,0.016348175
0.020330292,0.020027243,0.013758782,0.013758782
0.02134569,0.007889889,0.011567054,0.011567054
0.017250366,0.009358226,0.013413086,0.013413086
0.02414295,0.029447,0.016524525,0.016524525
0.020321975,0.017564455,0.014203475,0.014203475
0.018455023,0.019872413,0.015446973,0.015446973
0.020907844,0.019153484,0.018454344,0.018454344
0.011966797,0.004545699,0.009389291,0.009389291
0.022990164,0.010727744,0.012336424,0.012336424
0.027298806,0.005142634,0.015410276,0.015410276
0.01787825,0.016209266,0.021543186,0.021543186
0.047233804,0.022390288,0.018607444,0.018607444
0.020414517,0.015582982,0.002104743,0.002104743
0.023506957,0.032657257,0.019601463,0.019601463
0.026999274,0.021212494,0.003045439,0.003045439
0.029733174,0.010024704,0.002399304,0.002399304
0.053362804,0.016065389,0.003407954,0.003407954
0.041325049,0.018640639,0.002913469,0.002913469
0.024715241,0.001569331,8.61914E-05,8.61914E-05
0.005192339,0.002414539,0.015133241,0.015133241
0.009999469,0.011217551,0.007378787,0.007378787
0.012289013,0.006316561,0.013815951,0.013815951
0.003563078,0.003950326,0.012015644,0.012015644
0.007692141,0.005125491,0.014840401,0.014840401
0.008423718,0.005802738,0.012897446,0.012897446
0.003108039,0.005290181,0.031501531,0.031501531
0.000922553,0.001834418,0.028239892,0.028239892
0.013346094,0.007833586,0.016008656,0.016008656
0.019921025,0.011355705,0.010977645,0.010977645
0.014060647,0.001773447,0.024628997,0.024628997
0.003909645,0.001968725,0.024105595,0.024105595
0.016844855,0.005326255,0.013876855,0.013876855
0.017799993,0.003938947,0.001906458,0.001906458
0.022960674,0.001417564,0.002441242,0.002441242
0.018051254,0.016725286,0.006377766,0.006377766
0.017816279,0.022175075,0.008748765,0.008748765
0.033028202,0.024945878,0.003835318,0.003835318
0.026957342,0.008125468,0.002537932,0.002537932
0.020980742,0.007450122,0.006912882,0.006912882
0.019819632,0.016905932,0.006121372,0.006121372
0.011691872,0.000457052,0.000721152,0.000721152
0.012926714,0.006275444,0.003748476,0.003748476
0.013376579,0.003542346,0.004670326,0.004670326
0.020342092,0.005377338,0.002937213,0.002937213
0.034810258,0.002725882,0.006445438,0.006445438
0.016466488,0.004210358,0.003405974,0.003405974
0.017315783,0.009661593,0.007796343,0.007796343
0.020590194,0.004005648,0.004999398,0.004999398
0.032676754,0.000503704,0.005083254,0.005083254
0.024702578,0.010040402,0.004386218,0.004386218
0.029490535,0.006450579,0.008270539,0.008270539
0.033749987,0.003468847,0.007843147,0.007843147
0.020672847,0.000901207,0.015658677,0.015658677
0.021208807,0.002361059,0.008933867,0.008933867
0.010281419,0.009594921,0.006906149,0.006906149
0.001467514,0.035061074,0.000674124,0.000674124
0.007689614,0.019939544,0.018698794,0.018698794
0.031423004,0.000504684,0.019453104,0.019453104
0.014478023,0.009883383,0.017598423,0.017598423
0.013063724,0.013677814,0.008454444,0.008454444
0.007656333,0.020679407,0.006181811,0.006181811
0.016915915,0.000185035,0.01308279,0.01308279
0.042330273,0.002534278,0.010480953,0.010480953
0.059757786,0.005097074,0.004711806,0.004711806
0.054611435,0.004612465,0.004785221,0.004785221
0.056509111,0.008994411,0.005383827,0.005383827
0.037684627,0.019457722,0.000162617,0.000162617
0.048664389,0.021562489,0.006626121,0.006626121
0.04081321,0.01444553,0.0165706,0.0165706
0.051282567,0.021619687,0.004899157,0.004899157
0.058222083,0.017003797,0.009471877,0.009471877
0.044762633,0.018463679,0.019811183,0.019811183
0.026095427,0.004114082,0.001595483,0.001595483
0.039000621,0.001573734,0.009373331,0.009373331
0.041395188,0.001803228,0.016825114,0.016825114
0.033902698,0.006078388,0.002290473,0.002290473
0.038437168,0.002361408,0.001674444,0.001674444
0.035058509,0.006767035,0.001006991,0.001006991
0.039003869,7.27093E-05,0.000535175,0.000535175
0.025761956,0.003864791,0.005409126,0.005409126
0.025558819,0.001955069,0.003156034,0.003156034
0.019179006,0.001710406,0.012790826,0.012790826
0.000881056,0.004104696,0.027236914,0.027236914
0.002876446,0.006991486,0.012533254,0.012533254
0.007261144,0.003471621,0.002193934,0.002193934
0.001483967,0.007922522,0.004799933,0.004799933
0.010536836,0.018219936,0.007306806,0.007306806
0.013509953,0.007457813,0.016672628,0.016672628
0.020305068,0.008142713,0.024993538,0.024993538
0.020866707,0.009195072,0.022916146,0.022916146
0.02615239,0.01867008,0.00407718,0.00407718
0.033650324,0.01681355,0.0018689,0.0018689
0.02031898,0.01081906,0.00398327,0.00398327
0.027752325,0.027155146,0.000302285,0.000302285
0.03017552,0.04052982,0.00939048,0.00939048
0.012026614,0.015080444,0.007609636,0.007609636
0.003391412,0.002552767,0.011079577,0.011079577
0.005033165,0.001493115,0.002897085,0.002897085
0.015791245,0.001733564,0.007903531,0.007903531
